ecoregion,optimal_threshold
Alaska Boreal Interior,0.935
Alaska Tundra,0.895
Arctic Cordillera,0.72
Arctic Deserts And Tundra,0.91
Boreal Cordillera,0.935
Boreal Plain,0.925
Brooks Range Tundra,0.96
Central Taiga,0.96
Fennoscandia,0.955
Forest Steppe,0.945
Forest Tundra,0.915
Hudson Plain,0.71
Marine West Coast Forest,0.94
Mixed Forest,0.925
Montane Boreal,0.98
Montane Sub-Arctic,0.94
Montane Sub-Boreal,0.99
Northern Arctic,0.94
Northern Taiga,0.96
Softwood Shield,0.87
Southern Arctic,0.97
Southern Taiga,0.915
Steppe,0.97
Taiga Cordillera,0.905
Taiga Plain,0.94
Taiga Shield,0.9
Western Cordillera,0.01
